datetime,station,date,flow,st_max_temp,st_min_temp,st_mean_temp,st_heat_deg_days,st_cool_deg_days,st_total_rain,st_total_snow,st_total_precip,st_total_snow_on_ground,st_dir_of_max_gust_10sdeg,st_spd_of_max_gust_kmh,era5_6am_t2m,era5_6am_evabs,era5_6am_evavt,era5_6am_lai_lv,era5_6am_ro,era5_6am_es,era5_6am_smlt,era5_6am_stl1,era5_6am_ssro,era5_6am_sp,era5_6am_sro,era5_6am_e,era5_6am_tp,era5_6am_swvl1,era5_noon_t2m,era5_noon_evavt,era5_noon_ro,era5_noon_sd,era5_noon_es,era5_noon_sf,era5_noon_smlt,era5_noon_stl1,era5_noon_ssr,era5_noon_e,era5_noon_tp
2013-02-16,07SB013,2/16/2013,0.0,-12.0,-14.0,-13.0,31.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,256.55637644946376,-3.716688461782284e-06,3.153087319710905e-05,0.045972881296786255,-2.3481675634759176e-05,3.373300685224275e-05,-1.862645149230957e-09,270.88174081797854,267849.4078127059,-2.6803526647283537e-05,3.694562576260197e-05
2013-02-17,07SB013,2/17/2013,0.0,-14.5,-23.0,-18.8,36.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,250.78690291985066,-7.7348442358624e-05,3.153087319710905e-05,0.04597697723774,-1.6936833651612076e-05,6.863728676815766e-05,-1.862645149230957e-09,270.8170667436591,261816.1819479236,-9.443772045476017e-05,7.25027806983143e-05
2013-02-18,07SB013,2/18/2013,0.0,-14.0,-21.0,-17.5,35.5,0.0,0.0,3.6,3.6,3.6,,,,,,,,,,,,,,,,,254.44003294013493,1.053025350391132e-05,3.153087319710905e-05,0.04646838795075724,1.0636888763003237e-05,0.0001720924660185765,-1.862645149230957e-09,270.83557911322976,250751.2765346706,2.1366484263065336e-05,0.00017684534718568154
2013-02-19,07SB013,2/19/2013,0.0,-12.5,-17.0,-14.8,32.8,0.0,0.0,1.4,1.4,1.4,,,,,,,,,,,,,,,,,258.16222804012125,8.55926861670305e-06,3.142793661976982e-05,0.04762730538881928,-1.8825636622263458e-05,0.0014870997468859138,-1.862645149230957e-09,270.9138648884605,262777.5264204332,-1.0183070137607846e-05,0.001490285048248397
2013-02-20,07SB013,2/20/2013,0.0,-12.0,-23.0,-17.5,35.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,254.42964984273715,-2.229150900181854e-05,3.142793661976982e-05,0.04783195943553151,-7.609607638037028e-07,0.00018534214653089637,-1.862645149230957e-09,270.8978707540483,265037.3269723435,-2.17688716056737e-05,0.00019189436862363402
2013-02-21,07SB013,2/21/2013,0.0,-10.5,-19.0,-14.8,32.8,0.0,0.0,0.8,0.8,0.8,,,,,,,,,,,,,,,,,259.3534986182888,3.0494951916043586e-05,3.1331713279607025e-05,0.04851599671509273,2.4249705551142587e-05,0.0004771001583792478,-1.862645149230957e-09,270.9722485471814,354074.1257359854,5.4046485160222886e-05,0.0004819206749444845
2013-02-22,07SB013,2/22/2013,0.0,-6.5,-14.5,-10.5,28.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,262.32649610701844,1.7438019401205246e-05,3.1331713279607025e-05,0.04900925059762208,1.0386722549328675e-05,0.0005770378318793491,-1.862645149230957e-09,271.0474154854927,269566.7014000331,2.9327799529215043e-05,0.000579959203661278
2013-02-23,07SB013,2/23/2013,0.0,-11.0,-11.5,-11.3,29.3,0.0,0.0,1.6,1.6,1.6,,,,,,,,,,,,,,,,,262.91856102496854,1.2973609640929847e-05,3.1331713279607025e-05,0.04962340860365483,-5.015765582774375e-06,0.0007131360834243196,-1.862645149230957e-09,271.1255743932488,313306.4620844093,7.937666934191156e-06,0.0007161244387755397
2013-02-24,07SB013,2/24/2013,0.0,-10.5,-15.5,-13.0,31.0,0.0,0.0,2.8,2.8,2.8,,,,,,,,,,,,,,,,,261.35200099980096,-1.6905402086278106e-05,3.1331713279607025e-05,0.05009992866295007,1.2950898588849729e-05,0.0006088755526184349,-1.862645149230957e-09,271.14253389259704,374562.46583160874,4.647678807768026e-07,0.0006114622170919456
2013-02-25,07SB013,2/25/2013,0.0,-13.5,-16.0,-14.8,32.8,0.0,0.0,0.6,0.6,0.6,,,,,,,,,,,,,,,,,258.8414971533152,-3.049801457435502e-05,3.127001889928713e-05,0.051206113324386446,7.734030583406073e-06,0.0012277753039213132,-1.862645149230957e-09,271.1647431468434,409617.5882179691,-2.1568011161941123e-05,0.0012290788888834234
2013-02-26,07SB013,2/26/2013,0.0,-15.0,-22.0,-18.5,36.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,253.77395583444329,-6.613059591060459e-05,3.112568843547776e-05,0.05121266733350328,6.0903045559511516e-06,2.115322665087484e-05,-1.862645149230957e-09,271.0859022955355,399860.795563825,-5.9308595686273754e-05,2.454330382763688e-05
2013-02-27,07SB013,2/27/2013,0.0,-10.0,-24.5,-17.3,35.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,253.40184912350418,-2.1124002229232488e-05,3.112568843547776e-05,0.05124654931038823,3.160233815796212e-05,5.02464278918049e-06,-1.862645149230957e-09,271.02807270497084,586383.0748083243,1.3109608561086624e-05,4.972827013467034e-06
2013-02-28,07SB013,2/28/2013,0.0,-10.5,-22.5,-16.5,34.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,257.4617163619283,1.221523217364124e-05,3.112568843547776e-05,0.051588231290225516,-3.761842808301593e-06,0.0004646031439802689,-1.862645149230957e-09,271.040805122486,440472.4715093721,8.475895856846586e-06,0.0004671719119303563
2013-03-01,07SB013,3/1/2013,0.0,-2.5,-19.0,-10.8,28.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,262.36359009458795,7.134624509672174e-05,3.102972585924083e-05,0.051683381899770994,8.246391129927317e-05,1.1566481198230121e-05,-1.862645149230957e-09,271.11977528309023,567540.686942554,0.0001795783412915155,1.3416270432261227e-05
2013-03-02,07SB013,3/2/2013,0.0,-8.5,-17.0,-12.8,30.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,261.5498380443209,5.289281152014045e-06,3.0967864179469605e-05,0.051803334354922945,1.3577305785551986e-05,0.00015070019043877963,-1.862645149230957e-09,271.1558222517437,343729.78087691084,2.647825660033743e-05,0.00015658165038142573
2013-03-03,07SB013,3/3/2013,0.0,-10.5,-15.5,-13.0,31.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,262.1154384301917,2.791407302718784e-06,3.092673339970495e-05,0.05230314401856525,-1.5251462527705257e-05,0.0005229184688725799,-1.862645149230957e-09,271.20937254375815,445504.6195705626,-1.2567804476131082e-05,0.0005254123977757446
2013-03-04,07SB013,3/4/2013,0.0,-13.0,-21.5,-17.3,35.3,0.0,0.0,0.2,0.2,0.2,,,,,,,,,,,,,,,,,255.0696273929213,-9.892524410451857e-05,3.092673339970495e-05,0.05226140740624868,3.335776313147637e-07,1.9436475937270983e-05,-1.862645149230957e-09,271.1478807252684,699089.5845441007,-9.857288855933298e-05,2.122189816731575e-05
2013-03-05,07SB013,3/5/2013,0.0,-14.5,-22.0,-18.3,36.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,252.85386590264537,-2.5983540536353977e-05,3.092673339970495e-05,0.05250854646601251,1.8750600573695227e-06,0.0002387182677743247,-1.862645149230957e-09,271.06968516976474,667091.2570421569,-2.382057912921502e-05,0.00024291169073982716
2013-03-06,07SB013,3/6/2013,0.0,-26.5,-36.0,-31.3,49.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,243.50293026025142,-7.95598963024388e-05,3.072110004824804e-05,0.0524895544130879,2.9508120082491447e-06,5.758141361858334e-06,-1.862645149230957e-09,270.9048424971287,862881.4516351045,-7.663128018838607e-05,6.191762073381852e-06
