datetime,station,date,day_of_year,station_id,flow,st_max_temp,st_min_temp,st_mean_temp,st_heat_deg_days,st_cool_deg_days,st_total_rain,st_total_snow,st_total_precip,st_total_snow_on_ground,st_dir_of_max_gust_10sdeg,st_spd_of_max_gust_kmh,era5_6am_t2m,era5_6am_evabs,era5_6am_evavt,era5_6am_lai_lv,era5_6am_ro,era5_6am_es,era5_6am_smlt,era5_6am_stl1,era5_6am_ssro,era5_6am_sp,era5_6am_sro,era5_6am_e,era5_6am_tp,era5_6am_swvl1,era5_noon_t2m,era5_noon_evavt,era5_noon_ro,era5_noon_sd,era5_noon_es,era5_noon_sf,era5_noon_smlt,era5_noon_stl1,era5_noon_ssr,era5_noon_e,era5_noon_tp
2/16/2013,07SB013,2/16/2013,47,2,0,-12,-14,-13,31,0,0,0,0,0,,,,,,,,,,,,,,,,,256.5563764,-3.72E-06,3.15E-05,0.045972881,-2.35E-05,3.37E-05,-1.86E-09,270.8817408,267849.4078,-2.68E-05,3.69E-05
2/17/2013,07SB013,2/17/2013,48,2,0,-14.5,-23,-18.8,36.8,0,0,0,0,0,,,,,,,,,,,,,,,,,250.7869029,-7.73E-05,3.15E-05,0.045976977,-1.69E-05,6.86E-05,-1.86E-09,270.8170667,261816.1819,-9.44E-05,7.25E-05
2/18/2013,07SB013,2/18/2013,49,2,0,-14,-21,-17.5,35.5,0,0,3.6,3.6,3.6,,,,,,,,,,,,,,,,,254.4400329,1.05E-05,3.15E-05,0.046468388,1.06E-05,0.000172092,-1.86E-09,270.8355791,250751.2765,2.14E-05,0.000176845
2/19/2013,07SB013,2/19/2013,50,2,0,-12.5,-17,-14.8,32.8,0,0,1.4,1.4,1.4,,,,,,,,,,,,,,,,,258.162228,8.56E-06,3.14E-05,0.047627305,-1.88E-05,0.0014871,-1.86E-09,270.9138649,262777.5264,-1.02E-05,0.001490285
2/20/2013,07SB013,2/20/2013,51,2,0,-12,-23,-17.5,35.5,0,0,0,0,0,,,,,,,,,,,,,,,,,254.4296498,-2.23E-05,3.14E-05,0.047831959,-7.61E-07,0.000185342,-1.86E-09,270.8978708,265037.327,-2.18E-05,0.000191894
2/21/2013,07SB013,2/21/2013,52,2,0,-10.5,-19,-14.8,32.8,0,0,0.8,0.8,0.8,,,,,,,,,,,,,,,,,259.3534986,3.05E-05,3.13E-05,0.048515997,2.42E-05,0.0004771,-1.86E-09,270.9722485,354074.1257,5.40E-05,0.000481921
2/22/2013,07SB013,2/22/2013,53,2,0,-6.5,-14.5,-10.5,28.5,0,0,0,0,0,,,,,,,,,,,,,,,,,262.3264961,1.74E-05,3.13E-05,0.049009251,1.04E-05,0.000577038,-1.86E-09,271.0474155,269566.7014,2.93E-05,0.000579959
2/23/2013,07SB013,2/23/2013,54,2,0,-11,-11.5,-11.3,29.3,0,0,1.6,1.6,1.6,,,,,,,,,,,,,,,,,262.918561,1.30E-05,3.13E-05,0.049623409,-5.02E-06,0.000713136,-1.86E-09,271.1255744,313306.4621,7.94E-06,0.000716124
2/24/2013,07SB013,2/24/2013,55,2,0,-10.5,-15.5,-13,31,0,0,2.8,2.8,2.8,,,,,,,,,,,,,,,,,261.352001,-1.69E-05,3.13E-05,0.050099929,1.30E-05,0.000608876,-1.86E-09,271.1425339,374562.4658,4.65E-07,0.000611462
2/25/2013,07SB013,2/25/2013,56,2,0,-13.5,-16,-14.8,32.8,0,0,0.6,0.6,0.6,,,,,,,,,,,,,,,,,258.8414972,-3.05E-05,3.13E-05,0.051206113,7.73E-06,0.001227775,-1.86E-09,271.1647431,409617.5882,-2.16E-05,0.001229079
2/26/2013,07SB013,2/26/2013,57,2,0,-15,-22,-18.5,36.5,0,0,0,0,0,,,,,,,,,,,,,,,,,253.7739558,-6.61E-05,3.11E-05,0.051212667,6.09E-06,2.12E-05,-1.86E-09,271.0859023,399860.7956,-5.93E-05,2.45E-05
2/27/2013,07SB013,2/27/2013,58,2,0,-10,-24.5,-17.3,35.3,0,0,0,0,0,,,,,,,,,,,,,,,,,253.4018491,-2.11E-05,3.11E-05,0.051246549,3.16E-05,5.02E-06,-1.86E-09,271.0280727,586383.0748,1.31E-05,4.97E-06
2/28/2013,07SB013,2/28/2013,59,2,0,-10.5,-22.5,-16.5,34.5,0,0,0,0,0,,,,,,,,,,,,,,,,,257.4617164,1.22E-05,3.11E-05,0.051588231,-3.76E-06,0.000464603,-1.86E-09,271.0408051,440472.4715,8.48E-06,0.000467172
